start	end	text
0	2000	三
2000	5000	よく来てくださいました
15000	17000	五番
17000	20000	週末は天気が崩れるらしいけど
20000	24000	テニス大会はうてん結婚としよう
24000	26000	一
26000	29000	やっぱり演技するしかないですか
29000	31000	二
31000	35000	今さらやめるわけにいかないですからね
35000	37000	三
37000	41000	日程を調整しなくちゃいけませんね
51000	53000	六番
53000	59000	今度うちに配属された新人だけど失礼気はあまりないんだよね
59000	61000	一
61000	65000	レイギー正しいんだ
65000	67000	二
67000	70000	気に触ることでもあったの?
70000	72000	三
72000	75000	若いのに関心じゃない
84000	86000	七番
86000	91000	今日のトラブルについては部長に報告するまでもないかな
91000	93000	一
93000	97000	うーんお話ししといた方がいいかと
97000	99000	二
99000	103000	はい急いで部長にお伝えします
103000	105000	三
105000	108000	じゃあもう報告済みなんですね
114000	116000	八番
116000	120000	今回のことをなんとお浴びすればいいものか
120000	122000	一
122000	125000	お気になされないでください
125000	127000	二
127000	129000	何がよろしいでしょうか
129000	131000	三
131000	134000	あのどうぞご遠慮なく
134000	137000	どうぞご遠慮なく
137000	140000	どうぞご遠慮なく
